,x1,x2,y1,y2
0,381.5555788012037,381.4857919092502,323.795071,321.795071
1,381.19954137295804,381.02558275955124,327.728714,325.728714
2,378.4889065466042,378.4501555849657,321.217857,319.217857
3,377.09751184765764,377.275768634524,323.250858,321.250858
4,376.7985164639106,376.83953574641623,316.354012,314.354012
5,375.53718826293584,375.4903147321251,316.619663,314.619663
6,376.29851669693517,376.31339966116354,332.029029,330.029029
7,375.22063220669224,375.38748828598045,322.630856,320.630856
8,377.1387243005747,377.1361985811009,327.694857,325.694857
9,378.02975631953836,378.09727464327455,319.978285,317.978285
10,378.3622991014504,378.74331849744635,322.148571,320.148571
11,380.18376050931647,379.8948914756768,323.595428,321.595428
12,383.82313544858425,383.5501191453741,325.765714,323.765714
13,384.4081078292995,384.4461715953904,329.14171400000004,327.14171400000004
14,382.6588090961387,382.65871014976494,324.318856,322.318856
15,381.91913417779847,381.97976174623295,326.971428,324.971428
16,380.32390665207924,380.19693765161793,324.077714,322.077714
17,376.9728601313741,377.1531873499106,327.212571,325.212571
18,375.5667612105792,375.59540246414684,328.659428,326.659428
19,376.5478047463487,376.5619212068802,327.212571,325.212571
20,378.6218743044433,378.5676106762836,332.035428,330.035428
21,379.73179517897745,379.6571679876326,327.212571,325.212571
22,380.78532109358696,380.75804764097353,332.758857,330.758857
23,377.83717869272937,377.7801847013957,322.630856,320.630856
24,377.6023289444954,377.55297159697767,323.354285,321.354285
25,380.99567913689964,380.7894766517275,317.08457000000004,315.08457000000004
26,381.7221440426183,381.85749077161023,318.531427,316.531427
27,379.80505596837384,379.5532776581733,326.24799900000005,324.24799900000005
28,381.3132322281998,381.082801259858,325.524571,323.524571
29,383.02356659822294,383.0599081805119,333.723429,331.723429
30,383.0425594169278,382.7014328664668,328.659428,326.659428
31,383.14404661380706,383.08694892103296,336.376,334.376
32,383.98948957463483,383.833067348544,329.14171400000004,327.14171400000004
33,382.3962881586898,382.2679514729219,329.382857,327.382857
34,378.58032015380695,378.5930378193367,324.077714,322.077714
35,376.41808277910195,376.2197463935461,318.290285,316.290285
36,376.1086319395533,376.07893642804834,321.18399900000003,319.18399900000003
37,374.61863249684586,374.70036295689204,318.290285,316.290285
38,376.9277290688635,376.4730500094487,326.971428,324.971428
39,376.34027977381265,376.6704122566549,327.212571,325.212571
40,378.0376667362002,378.04558970275383,330.106285,328.106285
41,379.3698562339539,379.28179702112374,334.929143,332.929143
42,380.28469610271645,380.3057794441154,331.55314300000003,329.55314300000003
43,380.25720455371203,380.2583110325204,332.517714,330.517714
44,379.1958283512099,379.23244643027476,323.113142,321.113142
45,379.4661355192005,379.3704606940944,323.836571,321.836571
46,379.7029751775235,379.2744006662715,327.936,325.936
47,380.19569452116775,379.86984518675,325.765714,323.765714
48,382.2142680859747,382.3304815586668,333.0,331.0
49,384.32980520032515,384.5513907371758,327.453714,325.453714
50,389.11798129752606,389.230936246561,335.170286,333.170286
51,391.7900624124459,391.60954928112574,330.347428,328.347428
52,395.3624951044625,395.22540141359383,335.170286,333.170286
53,396.7046689915904,396.6414205930024,333.723429,331.723429
54,399.8192600837398,399.90483665661054,328.659428,326.659428
55,406.7345034886746,406.2771765594893,329.382857,327.382857
56,407.34154019237167,407.3177698250006,323.836571,321.836571
57,410.6408709421444,410.3683449519401,329.624,327.624
58,408.9620255748054,408.9024319452013,324.559999,322.559999
59,413.33977065497,413.1327728788258,333.96457200000003,331.96457200000003
60,412.6335797230706,412.7683163171726,335.893715,333.893715
61,413.94108351712447,413.7566393485561,337.581715,335.581715
62,415.54807688258074,415.48443662197906,338.78742900000003,336.78742900000003
63,415.5209930811768,415.24425185356415,335.411429,333.411429
64,413.9066835666208,413.93870183009415,336.134857,334.134857
65,411.53361796127274,411.6894218829201,330.106285,328.106285
66,410.9156327065717,410.7357875994442,335.170286,333.170286
67,409.0375731541145,409.04696837347853,322.148571,320.148571
68,410.1229684632401,409.975254615103,324.318856,322.318856
69,412.33677027484373,412.148851766241,334.688,332.688
70,413.8016956003278,413.64376035045683,332.517714,330.517714
71,414.2485166270469,414.0707708884109,340.957715,338.957715
