pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y
381.067521,212.603422,375.950000,413.980000,382.976346,268.276571,380.512074,325.909719,383.113250,279.128001,383.250118,287.334989,382.110538,296.367647,382.375000,304.786428,381.587121,315.560477
381.981980,215.350190,375.830000,413.980000,383.387058,273.340572,380.512074,324.462861,381.333498,281.057144,381.768664,289.342246,382.110538,298.776356,381.685606,305.863833,380.503788,315.560477
383.410000,208.510000,374.870000,413.980000,383.113250,265.624000,381.059690,325.186290,382.976346,276.234286,382.224496,288.539343,382.110538,297.572002,382.276515,305.863833,381.094697,315.380910
384.725358,220.385932,375.890000,413.980000,383.797770,272.858286,381.881114,325.186290,383.797770,282.504001,382.794286,290.345875,381.768664,300.181437,382.375000,306.941238,382.473485,315.560477
385.200000,220.070000,376.000000,413.990000,382.291826,272.617143,380.648978,325.427433,381.881114,284.192001,381.084916,292.754584,379.831377,300.181437,380.602273,307.300373,380.503788,315.560477
380.360000,226.430000,374.830000,413.990000,378.458513,277.922286,377.226377,325.427433,378.595417,288.291430,377.438259,297.170550,376.640553,303.794500,376.662879,308.916480,377.155303,316.637882
382.180000,235.690000,373.840000,413.990000,376.404953,283.709715,373.666872,325.909719,375.994241,291.426287,375.387015,298.776356,375.614931,306.203209,375.481061,310.173453,374.594697,317.715287
383.506079,228.626236,374.970000,413.990000,375.994241,280.816001,373.940680,325.186290,376.404953,290.702859,375.387015,298.776356,375.045141,306.203209,375.875000,310.173453,374.890152,316.099180
380.960000,232.900000,375.870000,413.980000,374.488297,283.709715,375.172817,328.080004,375.583529,294.078859,374.931183,300.783614,375.273057,307.407563,375.481061,311.609993,375.973485,319.151827
379.238602,219.470342,373.930000,413.990000,376.952569,275.028572,374.899009,325.186290,374.899009,288.291430,375.387015,296.568373,374.589309,306.203209,375.284091,311.609993,375.382576,318.792692
377.890000,219.110000,373.840000,413.980000,376.131145,274.787429,375.583529,323.980576,377.637089,284.192001,376.070763,294.761841,375.273057,304.195952,375.284091,309.096048,375.678030,317.535720
379.030000,216.710000,373.960000,413.990000,378.047801,271.893715,376.541857,323.739433,377.773993,282.745144,377.096385,292.754584,376.412637,302.590146,376.761364,308.557345,375.678030,316.997017
382.380000,210.300000,374.880000,413.980000,379.416841,267.070857,378.047801,323.257147,378.458513,280.333715,378.349923,290.345875,377.438259,300.181437,377.844697,306.941238,377.253788,314.483072
