body_X,body_Y,nectary_X,nectary_Y,prob_base_X,prob_base_Y,prob_mid_X,prob_mid_Y,prob_1_X,prob_1_Y,prob_2_X,prob_2_Y,prob_3_X,prob_3_Y,prob_4_X,prob_4_Y,prob_5_X,prob_5_Y
388.078376,381.61406800000003,372.227746,188.424715,381.619192,323.795071,380.238266,277.537139,381.05969,314.190856,381.19887400000005,307.238159,381.084916,300.212757,380.799242,293.442655,380.405303,287.157793
386.81,386.98,372.97,188.0,381.34824100000003,327.728714,379.41684100000003,278.019424,380.405303,320.557345,380.743042,310.449771,380.743042,302.621466,380.306818,295.597465,380.208333,288.594333
383.1,379.1,373.95,188.01,378.548415,321.217857,379.95,278.0,378.337121,315.709023,378.463881,309.847593,378.691797,301.216386,379.125,295.23832999999996,379.223485,286.08038799999997
379.238602,381.156274,374.93,188.01,377.155303,323.250858,376.81566499999997,278.019424,377.226377,314.914284,378.008049,309.24541600000003,377.096385,301.216386,377.253788,295.597465,376.859848,287.696495
378.7,379.27,374.94,188.01,376.495312,316.354012,377.01,278.0,377.36328100000003,312.985141,376.64055299999995,306.635981,376.754511,300.61420899999996,376.465909,294.699627,376.958333,287.157793
378.75,380.2,374.9,188.02,375.635066,316.619663,375.309721,278.019424,375.309721,312.743998,375.38701499999996,307.438884,375.72888900000004,298.2055,375.185606,294.699627,375.382576,287.696495
379.13,381.16,375.01,188.01,376.32869700000003,332.029029,375.47,278.0,375.720433,315.63771299999996,375.72888900000004,308.643239,375.38701499999996,299.61057999999997,374.988636,295.597465,374.890152,287.157793
380.17,380.73,375.96,188.01,375.172817,322.630856,375.88,278.0,375.994241,313.467427,375.38701499999996,308.041062,375.956805,299.409854,375.579545,293.622222,375.67803,286.439523
380.84,381.3,376.75,188.03,377.226377,327.69485699999996,376.23,278.0,376.404953,315.63771299999996,377.666175,307.840336,375.72888900000004,299.409854,376.662879,293.442655,376.07197,286.978225
380.75,380.92,376.85,188.02,378.047801,319.978285,378.047801,278.019424,378.184705,313.70857,378.008049,304.82945,378.463881,296.599694,377.943182,291.467412,377.844697,284.823415
