73,"           3             2
9.193e-07 x - 0.0008546 x + 0.2937 x + 379.4"
74,"            3           2
-7.912e-05 x + 0.07323 x - 22.51 x + 2717"
75,"            3           2
-5.891e-05 x + 0.05416 x - 16.5 x + 2085"
76,"           3           2
9.612e-05 x - 0.08938 x + 27.7 x - 2441"
77,"            3           2
-3.218e-05 x + 0.02886 x - 8.548 x + 1258"
78,"           3           2
-1.83e-05 x + 0.01668 x - 4.983 x + 908.1"
79,"           3           2
5.235e-05 x - 0.05005 x + 16 x - 1288"
80,"           3           2
2.394e-05 x - 0.02348 x + 7.728 x - 431.7"
81,"            3           2
-7.518e-05 x + 0.06881 x - 20.86 x + 2511"
82,"           3           2
4.038e-05 x - 0.03833 x + 12.18 x - 877.3"
83,"           3            2
-3.54e-06 x + 0.002184 x - 0.2571 x + 393"
84,"            3            2
-1.015e-05 x + 0.008612 x - 2.35 x + 621.7"
85,"            3             2
-6.433e-07 x + 0.0001011 x + 0.164 x + 376.2"
86,"            3           2
-1.208e-05 x + 0.01178 x - 3.775 x + 815"
87,"            3           2
-3.011e-05 x + 0.02888 x - 9.148 x + 1377"
88,"            3           2
-4.017e-05 x + 0.03747 x - 11.57 x + 1601"
89,"            3            2
-7.399e-06 x + 0.006112 x - 1.62 x + 553.6"
90,"            3            2
-3.856e-06 x + 0.002792 x - 0.6005 x + 451.7"
91,"            3           2
-3.669e-05 x + 0.03293 x - 9.774 x + 1378"
92,"            3           2
-3.206e-05 x + 0.02869 x - 8.461 x + 1243"
93,"           3           2
1.606e-05 x - 0.01502 x + 4.782 x - 92.42"
94,"            3            2
-7.632e-06 x + 0.005043 x - 0.8348 x + 431.4"
95,"            3           2
-7.467e-05 x + 0.06725 x - 20.03 x + 2402"
96,"           3           2
5.316e-05 x - 0.05042 x + 16.01 x - 1271"
97,"           3           2
2.916e-05 x - 0.02669 x + 8.241 x - 426.2"
98,"           3            2
9.547e-07 x - 0.001359 x + 0.6615 x + 331"
99,"           3           2
4.475e-05 x - 0.04181 x + 13.05 x - 927.2"
100,"           3            2
-1.18e-05 x + 0.009752 x - 2.54 x + 635.8"
101,"           3           2
1.649e-05 x - 0.01642 x + 5.538 x - 196.4"
102,"            3           2
-1.234e-05 x + 0.01082 x - 3.017 x + 697.2"
103,"           3           2
4.034e-05 x - 0.03748 x + 11.74 x - 804.7"
104,"            3            2
-3.259e-06 x + 0.002634 x - 0.5336 x + 439.2"
105,"            3           2
-3.628e-05 x + 0.03126 x - 8.747 x + 1211"
